,Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
0,1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,China,1439323776.0,0.39%,5540090.0,153.0,9388211.0,-348399.0,1.7,38,61%,18.47%
1,2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,India,1380004385.0,0.99%,13586631.0,464.0,2973190.0,-532687.0,2.2,28,35%,17.70%
2,3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,United States,331002651.0,0.59%,1937734.0,36.0,9147420.0,954806.0,1.8,38,83%,4.25%
3,4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,Indonesia,273523615.0,1.07%,2898047.0,151.0,1811570.0,-98955.0,2.3,30,56%,3.51%
4,5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,Pakistan,220892340.0,2.00%,4327022.0,287.0,770880.0,-233379.0,3.6,23,35%,2.83%
5,6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,Brazil,212559417.0,0.72%,1509890.0,25.0,8358140.0,21200.0,1.7,33,88%,2.73%
6,7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,Nigeria,206139589.0,2.58%,5175990.0,226.0,910770.0,-60000.0,5.4,18,52%,2.64%
7,8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,Bangladesh,164689383.0,1.01%,1643222.0,1265.0,130170.0,-369501.0,2.1,28,39%,2.11%
8,9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,Russia,145934462.0,0.04%,62206.0,9.0,16376870.0,182456.0,1.8,40,74%,1.87%
9,10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,Mexico,128932753.0,1.06%,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84%,1.65%
10,11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,Japan,126476461.0,-0.30%,-383840.0,347.0,364555.0,71560.0,1.4,48,92%,1.62%
11,12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,Ethiopia,114963588.0,2.57%,2884858.0,115.0,1000000.0,30000.0,4.3,19,21%,1.47%
12,13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,Philippines,109581078.0,1.35%,1464463.0,368.0,298170.0,-67152.0,2.6,26,47%,1.41%
13,14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,Egypt,102334404.0,1.94%,1946331.0,103.0,995450.0,-38033.0,3.3,25,43%,1.31%
14,15,,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0,Vietnam,97338579.0,0.91%,876473.0,314.0,310070.0,-80000.0,2.1,32,38%,1.25%
15,16,,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0,DR Congo,89561403.0,3.19%,2770836.0,40.0,2267050.0,23861.0,6,17,46%,1.15%
16,17,,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0,Turkey,84339067.0,1.09%,909452.0,110.0,769630.0,283922.0,2.1,32,76%,1.08%
17,18,,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0,Iran,83992949.0,1.30%,1079043.0,52.0,1628550.0,-55000.0,2.2,32,76%,1.08%
18,19,,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0,Germany,83783942.0,0.32%,266897.0,240.0,348560.0,543822.0,1.6,46,76%,1.07%
19,20,,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0,Thailand,69799978.0,0.25%,174396.0,137.0,510890.0,19444.0,1.5,40,51%,0.90%
20,21,,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0,United Kingdom,67886011.0,0.53%,355839.0,281.0,241930.0,260650.0,1.8,40,83%,0.87%
21,22,,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0,France,65273511.0,0.22%,143783.0,119.0,547557.0,36527.0,1.9,42,82%,0.84%
22,23,,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0,Italy,60461826.0,-0.15%,-88249.0,206.0,294140.0,148943.0,1.3,47,69%,0.78%
23,24,,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0,Tanzania,59734218.0,2.98%,1728755.0,67.0,885800.0,-40076.0,4.9,18,37%,0.77%
24,25,,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0,South Africa,59308690.0,1.28%,750420.0,49.0,1213090.0,145405.0,2.4,28,67%,0.76%
25,26,,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0,Myanmar,54409800.0,0.67%,364380.0,83.0,653290.0,-163313.0,2.2,29,31%,0.70%
26,27,,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0,Kenya,53771296.0,2.28%,1197323.0,94.0,569140.0,-10000.0,3.5,20,28%,0.69%
27,28,,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0,South Korea,51269185.0,0.09%,43877.0,527.0,97230.0,11731.0,1.1,44,82%,0.66%
28,29,,Afghanistan,33.0,65.0,2020-02-19,0.0,0.0,Colombia,50882891.0,1.08%,543448.0,46.0,1109500.0,204796.0,1.8,31,80%,0.65%
29,30,,Afghanistan,33.0,65.0,2020-02-20,0.0,0.0,Spain,46754778.0,0.04%,18002.0,94.0,498800.0,40000.0,1.3,45,80%,0.60%
30,31,,Afghanistan,33.0,65.0,2020-02-21,0.0,0.0,Uganda,45741007.0,3.32%,1471413.0,229.0,199810.0,168694.0,5,17,26%,0.59%
31,32,,Afghanistan,33.0,65.0,2020-02-22,0.0,0.0,Argentina,45195774.0,0.93%,415097.0,17.0,2736690.0,4800.0,2.3,32,93%,0.58%
32,33,,Afghanistan,33.0,65.0,2020-02-23,0.0,0.0,Algeria,43851044.0,1.85%,797990.0,18.0,2381740.0,-10000.0,3.1,29,73%,0.56%
33,34,,Afghanistan,33.0,65.0,2020-02-24,1.0,0.0,Sudan,43849260.0,2.42%,1036022.0,25.0,1765048.0,-50000.0,4.4,20,35%,0.56%
34,35,,Afghanistan,33.0,65.0,2020-02-25,1.0,0.0,Ukraine,43733762.0,-0.59%,-259876.0,75.0,579320.0,10000.0,1.4,41,69%,0.56%
35,36,,Afghanistan,33.0,65.0,2020-02-26,1.0,0.0,Iraq,40222493.0,2.32%,912710.0,93.0,434320.0,7834.0,3.7,21,73%,0.52%
36,37,,Afghanistan,33.0,65.0,2020-02-27,1.0,0.0,Afghanistan,38928346.0,2.33%,886592.0,60.0,652860.0,-62920.0,4.6,18,25%,0.50%
37,38,,Afghanistan,33.0,65.0,2020-02-28,1.0,0.0,Poland,37846611.0,-0.11%,-41157.0,124.0,306230.0,-29395.0,1.4,42,60%,0.49%
38,39,,Afghanistan,33.0,65.0,2020-02-29,1.0,0.0,Canada,37742154.0,0.89%,331107.0,4.0,9093510.0,242032.0,1.5,41,81%,0.48%
39,40,,Afghanistan,33.0,65.0,2020-03-01,1.0,0.0,Morocco,36910560.0,1.20%,438791.0,83.0,446300.0,-51419.0,2.4,30,64%,0.47%
40,41,,Afghanistan,33.0,65.0,2020-03-02,1.0,0.0,Saudi Arabia,34813871.0,1.59%,545343.0,16.0,2149690.0,134979.0,2.3,32,84%,0.45%
41,42,,Afghanistan,33.0,65.0,2020-03-03,1.0,0.0,Uzbekistan,33469203.0,1.48%,487487.0,79.0,425400.0,-8863.0,2.4,28,50%,0.43%
42,43,,Afghanistan,33.0,65.0,2020-03-04,1.0,0.0,Peru,32971854.0,1.42%,461401.0,26.0,1280000.0,99069.0,2.3,31,79%,0.42%
43,44,,Afghanistan,33.0,65.0,2020-03-05,1.0,0.0,Angola,32866272.0,3.27%,1040977.0,26.0,1246700.0,6413.0,5.6,17,67%,0.42%
44,45,,Afghanistan,33.0,65.0,2020-03-06,1.0,0.0,Malaysia,32365999.0,1.30%,416222.0,99.0,328550.0,50000.0,2,30,78%,0.42%
45,46,,Afghanistan,33.0,65.0,2020-03-07,1.0,0.0,Mozambique,31255435.0,2.93%,889399.0,40.0,786380.0,-5000.0,4.9,18,38%,0.40%
46,47,,Afghanistan,33.0,65.0,2020-03-08,4.0,0.0,Ghana,31072940.0,2.15%,655084.0,137.0,227540.0,-10000.0,3.9,22,57%,0.40%
47,48,,Afghanistan,33.0,65.0,2020-03-09,4.0,0.0,Yemen,29825964.0,2.28%,664042.0,56.0,527970.0,-30000.0,3.8,20,38%,0.38%
48,49,,Afghanistan,33.0,65.0,2020-03-10,5.0,0.0,Nepal,29136808.0,1.85%,528098.0,203.0,143350.0,41710.0,1.9,25,21%,0.37%
49,50,,Afghanistan,33.0,65.0,2020-03-11,7.0,0.0,Venezuela,28435940.0,-0.28%,-79889.0,32.0,882050.0,-653249.0,2.3,30,N.A.,0.36%
50,51,,Afghanistan,33.0,65.0,2020-03-12,7.0,0.0,Madagascar,27691018.0,2.68%,721711.0,48.0,581795.0,-1500.0,4.1,20,39%,0.36%
51,52,,Afghanistan,33.0,65.0,2020-03-13,7.0,0.0,Cameroon,26545863.0,2.59%,669483.0,56.0,472710.0,-4800.0,4.6,19,56%,0.34%
52,53,,Afghanistan,33.0,65.0,2020-03-14,11.0,0.0,Côte d'Ivoire,26378274.0,2.57%,661730.0,83.0,318000.0,-8000.0,4.7,19,51%,0.34%
53,54,,Afghanistan,33.0,65.0,2020-03-15,16.0,0.0,North Korea,25778816.0,0.44%,112655.0,214.0,120410.0,-5403.0,1.9,35,63%,0.33%
54,55,,Afghanistan,33.0,65.0,2020-03-16,21.0,0.0,Australia,25499884.0,1.18%,296686.0,3.0,7682300.0,158246.0,1.8,38,86%,0.33%
55,56,,Afghanistan,33.0,65.0,2020-03-17,22.0,0.0,Niger,24206644.0,3.84%,895929.0,19.0,1266700.0,4000.0,7,15,17%,0.31%
56,57,,Afghanistan,33.0,65.0,2020-03-18,22.0,0.0,Taiwan,23816775.0,0.18%,42899.0,673.0,35410.0,30001.0,1.2,42,79%,0.31%
57,58,,Afghanistan,33.0,65.0,2020-03-19,22.0,0.0,Sri Lanka,21413249.0,0.42%,89516.0,341.0,62710.0,-97986.0,2.2,34,18%,0.27%
58,59,,Afghanistan,33.0,65.0,2020-03-20,24.0,0.0,Burkina Faso,20903273.0,2.86%,581895.0,76.0,273600.0,-25000.0,5.2,18,31%,0.27%
59,60,,Afghanistan,33.0,65.0,2020-03-21,24.0,0.0,Mali,20250833.0,3.02%,592802.0,17.0,1220190.0,-40000.0,5.9,16,44%,0.26%
60,94,,Albania,41.1533,20.1683,2020-01-22,0.0,0.0,Romania,19237691.0,-0.66%,-126866.0,84.0,230170.0,-73999.0,1.6,43,55%,0.25%
61,95,,Albania,41.1533,20.1683,2020-01-23,0.0,0.0,Malawi,19129952.0,2.69%,501205.0,203.0,94280.0,-16053.0,4.3,18,18%,0.25%
62,96,,Albania,41.1533,20.1683,2020-01-24,0.0,0.0,Chile,19116201.0,0.87%,164163.0,26.0,743532.0,111708.0,1.7,35,85%,0.25%
63,97,,Albania,41.1533,20.1683,2020-01-25,0.0,0.0,Kazakhstan,18776707.0,1.21%,225280.0,7.0,2699700.0,-18000.0,2.8,31,58%,0.24%
64,98,,Albania,41.1533,20.1683,2020-01-26,0.0,0.0,Zambia,18383955.0,2.93%,522925.0,25.0,743390.0,-8000.0,4.7,18,45%,0.24%
65,99,,Albania,41.1533,20.1683,2020-01-27,0.0,0.0,Guatemala,17915568.0,1.90%,334096.0,167.0,107160.0,-9215.0,2.9,23,52%,0.23%
66,100,,Albania,41.1533,20.1683,2020-01-28,0.0,0.0,Ecuador,17643054.0,1.55%,269392.0,71.0,248360.0,36400.0,2.4,28,63%,0.23%
67,101,,Albania,41.1533,20.1683,2020-01-29,0.0,0.0,Syria,17500658.0,2.52%,430523.0,95.0,183630.0,-427391.0,2.8,26,60%,0.22%
68,102,,Albania,41.1533,20.1683,2020-01-30,0.0,0.0,Netherlands,17134872.0,0.22%,37742.0,508.0,33720.0,16000.0,1.7,43,92%,0.22%
69,103,,Albania,41.1533,20.1683,2020-01-31,0.0,0.0,Senegal,16743927.0,2.75%,447563.0,87.0,192530.0,-20000.0,4.7,19,49%,0.21%
70,104,,Albania,41.1533,20.1683,2020-02-01,0.0,0.0,Cambodia,16718965.0,1.41%,232423.0,95.0,176520.0,-30000.0,2.5,26,24%,0.21%
71,105,,Albania,41.1533,20.1683,2020-02-02,0.0,0.0,Chad,16425864.0,3.00%,478988.0,13.0,1259200.0,2000.0,5.8,17,23%,0.21%
72,106,,Albania,41.1533,20.1683,2020-02-03,0.0,0.0,Somalia,15893222.0,2.92%,450317.0,25.0,627340.0,-40000.0,6.1,17,47%,0.20%
73,107,,Albania,41.1533,20.1683,2020-02-04,0.0,0.0,Zimbabwe,14862924.0,1.48%,217456.0,38.0,386850.0,-116858.0,3.6,19,38%,0.19%
74,108,,Albania,41.1533,20.1683,2020-02-05,0.0,0.0,Guinea,13132795.0,2.83%,361549.0,53.0,245720.0,-4000.0,4.7,18,39%,0.17%
75,109,,Albania,41.1533,20.1683,2020-02-06,0.0,0.0,Rwanda,12952218.0,2.58%,325268.0,525.0,24670.0,-9000.0,4.1,20,18%,0.17%
76,110,,Albania,41.1533,20.1683,2020-02-07,0.0,0.0,Benin,12123200.0,2.73%,322049.0,108.0,112760.0,-2000.0,4.9,19,48%,0.16%
77,111,,Albania,41.1533,20.1683,2020-02-08,0.0,0.0,Burundi,11890784.0,3.12%,360204.0,463.0,25680.0,2001.0,5.5,17,14%,0.15%
78,112,,Albania,41.1533,20.1683,2020-02-09,0.0,0.0,Tunisia,11818619.0,1.06%,123900.0,76.0,155360.0,-4000.0,2.2,33,70%,0.15%
79,113,,Albania,41.1533,20.1683,2020-02-10,0.0,0.0,Bolivia,11673021.0,1.39%,159921.0,11.0,1083300.0,-9504.0,2.8,26,69%,0.15%
80,114,,Albania,41.1533,20.1683,2020-02-11,0.0,0.0,Belgium,11589623.0,0.44%,50295.0,383.0,30280.0,48000.0,1.7,42,98%,0.15%
81,115,,Albania,41.1533,20.1683,2020-02-12,0.0,0.0,Haiti,11402528.0,1.24%,139451.0,414.0,27560.0,-35000.0,3,24,57%,0.15%
82,116,,Albania,41.1533,20.1683,2020-02-13,0.0,0.0,Cuba,11326616.0,-0.06%,-6867.0,106.0,106440.0,-14400.0,1.6,42,78%,0.15%
83,117,,Albania,41.1533,20.1683,2020-02-14,0.0,0.0,South Sudan,11193725.0,1.19%,131612.0,18.0,610952.0,-174200.0,4.7,19,25%,0.14%
84,118,,Albania,41.1533,20.1683,2020-02-15,0.0,0.0,Dominican Republic,10847910.0,1.01%,108952.0,225.0,48320.0,-30000.0,2.4,28,85%,0.14%
85,119,,Albania,41.1533,20.1683,2020-02-16,0.0,0.0,Czech Republic (Czechia),10708981.0,0.18%,19772.0,139.0,77240.0,22011.0,1.6,43,74%,0.14%
86,120,,Albania,41.1533,20.1683,2020-02-17,0.0,0.0,Greece,10423054.0,-0.48%,-50401.0,81.0,128900.0,-16000.0,1.3,46,85%,0.13%
87,121,,Albania,41.1533,20.1683,2020-02-18,0.0,0.0,Jordan,10203134.0,1.00%,101440.0,115.0,88780.0,10220.0,2.8,24,91%,0.13%
88,122,,Albania,41.1533,20.1683,2020-02-19,0.0,0.0,Portugal,10196709.0,-0.29%,-29478.0,111.0,91590.0,-6000.0,1.3,46,66%,0.13%
89,123,,Albania,41.1533,20.1683,2020-02-20,0.0,0.0,Azerbaijan,10139177.0,0.91%,91459.0,123.0,82658.0,1200.0,2.1,32,56%,0.13%
90,124,,Albania,41.1533,20.1683,2020-02-21,0.0,0.0,Sweden,10099265.0,0.63%,62886.0,25.0,410340.0,40000.0,1.9,41,88%,0.13%
91,125,,Albania,41.1533,20.1683,2020-02-22,0.0,0.0,Honduras,9904607.0,1.63%,158490.0,89.0,111890.0,-6800.0,2.5,24,57%,0.13%
92,126,,Albania,41.1533,20.1683,2020-02-23,0.0,0.0,United Arab Emirates,9890402.0,1.23%,119873.0,118.0,83600.0,40000.0,1.4,33,86%,0.13%
93,127,,Albania,41.1533,20.1683,2020-02-24,0.0,0.0,Hungary,9660351.0,-0.25%,-24328.0,107.0,90530.0,6000.0,1.5,43,72%,0.12%
94,128,,Albania,41.1533,20.1683,2020-02-25,0.0,0.0,Tajikistan,9537645.0,2.32%,216627.0,68.0,139960.0,-20000.0,3.6,22,27%,0.12%
95,129,,Albania,41.1533,20.1683,2020-02-26,0.0,0.0,Belarus,9449323.0,-0.03%,-3088.0,47.0,202910.0,8730.0,1.7,40,79%,0.12%
96,130,,Albania,41.1533,20.1683,2020-02-27,0.0,0.0,Austria,9006398.0,0.57%,51296.0,109.0,82409.0,65000.0,1.5,43,57%,0.12%
97,131,,Albania,41.1533,20.1683,2020-02-28,0.0,0.0,Papua New Guinea,8947024.0,1.95%,170915.0,20.0,452860.0,-800.0,3.6,22,13%,0.11%
